"","palabra","n"
"1578","humbolt",5
"1579","industrial",5
"1580","jdl",5
"1581","kh9",5
"1582","lpb",5
"1583","media",5
"1584","medio",5
"1585","mereces",5
"1586","minutos",5
"1587","montalbán",5
"1588","máximo",5
"1589","nr",5
"1590","partamento",5
"1591","pocos",5
"1592","portico",5
"1593","privilegiadas",5
"1594","publico",5
"1595","quebrada",5
"1596","revista",5
"1597","segura",5
"1598","semiequipado",5
"1599","solicitada",5
"1600","supermercados",5
"1601","techada",5
"1602","techado",5
"1603","torres",5
"1604","townhouse",5
"1605","ubicaciones",5
"1606","ubicada",5
"1607","united",5
"1608","urb.los",5
"1609","único",5
"1610","0",4
"1611","021",4
"1612","10155",4
"1613","101m2",4
"1614","105m2",4
"1615","10641",4
"1616","107",4
"1617","10725",4
"1618","108m2",4
"1619","11277",4
"1620","114",4
"1621","11470",4
"1622","115m2",4
"1623","11694",4
"1624","116m2",4
"1625","11838",4
"1626","118m2",4
"1627","122",4
"1628","12292",4
"1629","12603",4
"1630","12721",4
"1631","128",4
"1632","128m2",4
"1633","129m2",4
"1634","13116",4
"1635","13424",4
"1636","13550",4
"1637","13558",4
"1638","137m2",4
"1639","13813",4
"1640","13892",4
"1641","14076",4
"1642","14343",4
"1643","143mtrs2",4
"1644","144",4
"1645","1441",4
"1646","14555",4
"1647","14557",4
"1648","14619",4
"1649","14774",4
"1650","14995",4
"1651","15069",4
"1652","15083",4
"1653","15110",4
"1654","15113",4
"1655","15190",4
"1656","15196",4
"1657","15330",4
"1658","15354",4
"1659","15374",4
"1660","15484",4
"1661","15617",4
"1662","15653",4
"1663","15704",4
"1664","15892",4
"1665","160",4
"1666","16013",4
"1667","16128",4
"1668","16140",4
"1669","16161",4
"1670","16266",4
"1671","16621",4
"1672","16665",4
"1673","16698",4
"1674","16742",4
"1675","170",4
"1676","17222",4
"1677","17389",4
"1678","17486",4
"1679","17602",4
"1680","17692",4
"1681","17775",4
"1682","17906",4
"1683","17992",4
"1684","180",4
"1685","18227",4
"1686","18239",4
"1687","18470",4
"1688","19042",4
"1689","1n",4
"1690","2025",4
"1691","20461",4
"1692","206",4
"1693","244",4
"1694","24697",4
"1695","2657",4
"1696","2s",4
"1697","350m2",4
"1698","3702",4
"1699","3a",4
"1700","45m2",4
"1701","480",4
"1702","4924",4
"1703","52",4
"1704","5442",4
"1705","65m2",4
"1706","661",4
"1707","67m2",4
"1708","7048",4
"1709","7120",4
"1710","7471",4
"1711","800",4
"1712","83",4
"1713","8706",4
"1714","8742",4
"1715","8928",4
"1716","89m2",4
"1717","9274",4
"1718","ab",4
"1719","absoluta",4
"1720","ach",4
"1721","adm",4
"1722","ahora",4
"1723","alianza",4
"1724","alquile",4
"1725","altagracia",4
"1726","altos",4
"1727","ambiente",4
"1728","amoblar",4
"1729","apartameno",4
"1730","armadas",4
"1731","armonía",4
"1732","arrendamiento",4
"1733","banos",4
"1734","bernandino",4
"1735","blv",4
"1736","boulevard",4
"1737","calidez",4
"1738","carabobo",4
"1739","casco",4
"1740","ccs",4
"1741","cercanía",4
"1742","cita",4
"1743","combinación",4
"1744","const",4
"1745","contemporáneo",4
"1746","cómoda",4
"1747","dentro",4
"1748","departamento",4
"1749","distribucion",4
"1750","domotizado",4
"1751","ds",4
"1752","eduviges",4
"1753","electrodomésticos",4
"1754","embajadas",4
"1755","empresas",4
"1756","enla",4
"1757","entregar",4
"1758","ericka",4
"1759","esperando",4
"1760","estrategica",4
"1761","estudiantes",4
"1762","excelentemente",4
"1763","faldas",4
"1764","frescos",4
"1765","fuerzas",4
"1766","galerías",4
"1767","gertrudis",4
"1768","ggcd",4
"1769","gomez",4
"1770","h3",4
"1771","hace",4
"1772","hacer",4
"1773","iluminados",4
"1774","in",4
"1775","incluido",4
"1776","independientes",4
"1777","inigualable",4
"1778","inmobiliaria",4
"1779","integrada",4
"1780","inteligente",4
"1781","iv",4
"1782","jcr",4
"1783","je",4
"1784","kg",4
"1785","l38",4
"1786","lg",4
"1787","lib",4
"1788","linea",4
"1789","livy",4
"1790","llanito",4
"1791","lv",4
"1792","mag",4
"1793","magnifica",4
"1794","marino",4
"1795","marmol",4
"1796","mascotas",4
"1797","máxima",4
"1798","naturaleza",4
"1799","naturalmente",4
"1800","oasis",4
"1801","oficinas",4
"1802","ofrezco",4
"1803","onda",4
"1804","pagos",4
"1805","palo",4
"1806","parquet",4
"1807","partir",4
"1808","pasar",4
"1809","pequeño",4
"1810","personas",4
"1811","pie",4
"1812","placer",4
"1813","plantas",4
"1814","podrás",4
"1815","posee",4
"1816","presentamos",4
"1817","primer",4
"1818","profesionales",4
"1819","ramirez",4
"1820","remodelada",4
"1821","rl",4
"1822","ruido",4
"1823","sauna",4
"1824","secadora",4
"1825","seija",4
"1826","selene",4
"1827","semiamueblado",4
"1828","social",4
"1829","solución",4
"1830","suministro",4
"1831","superficie",4
"1832","temperada",4
"1833","tenis",4
"1834","toda",4
"1835","tolon",4
"1836","top",4
"1837","tráfico",4
"1838","urbana",4
"1839","urbina.t7m",4
"1840","vc",4
"1841","vendo",4
"1842","visitas",4
"1843","vm",4
"1844","yelixa",4
"1845","yr",4
"1846","1.100",3
"1847","10",3
"1848","101",3
"1849","102",3
"1850","102m2",3
"1851","10461",3
"1852","10583",3
"1853","106",3
"1854","10657",3
"1855","10978",3
"1856","111m2",3
"1857","112m2",3
"1858","11756",3
"1859","11784",3
"1860","117m2",3
"1861","119",3
"1862","11911",3
"1863","11994",3
"1864","119m2",3
"1865","12267",3
"1866","1234",3
"1867","124m2",3
"1868","125m2",3
"1869","126m2",3
"1870","127",3
"1871","12777",3
"1872","12984",3
"1873","130",3
"1874","13066",3
"1875","13076",3
"1876","13152",3
"1877","13352",3
"1878","13479",3
"1879","13482",3
"1880","13502",3
"1881","13530",3
"1882","13570",3
"1883","136",3
"1884","13601",3
"1885","13747",3
"1886","138",3
"1887","13887",3
"1888","13899",3
"1889","13922",3
"1890","13930",3
"1891","13988",3
"1892","14205",3
"1893","143mt2",3
"1894","14496",3
"1895","14574",3
"1896","14698",3
"1897","14699",3
"1898","14788",3
"1899","14811",3
"1900","148m2",3
"1901","15237",3
"1902","153m2",3
"1903","154",3
"1904","15415",3
"1905","15482",3
"1906","15562",3
"1907","15638",3
"1908","156m2",3
"1909","15736",3
"1910","15935",3
"1911","15m2",3
"1912","16016",3
"1913","16086",3
"1914","160mtrs",3
"1915","16206",3
"1916","16283",3
"1917","16287",3
"1918","16341",3
"1919","16342",3
"1920","16418",3
"1921","16453",3
"1922","16653",3
"1923","166m2",3
"1924","17",3
"1925","17099",3
"1926","17209",3
"1927","17295",3
"1928","17302",3
"1929","17329",3
"1930","17667",3
"1931","17760",3
"1932","17847",3
"1933","18003",3
"1934","18148",3
"1935","18251",3
"1936","18363",3
"1937","18422",3
"1938","18458",3
"1939","184m2",3
"1940","185",3
"1941","18531",3
"1942","18536",3
"1943","18541",3
"1944","19937",3
"1945","2.800",3
"1946","2026",3
"1947","210",3
"1948","21110",3
"1949","220",3
"1950","22716",3
"1951","230",3
"1952","231",3
"1953","23494",3
"1954","24304",3
"1955","250",3
"1956","250m2",3
"1957","2696",3
"1958","281",3
"1959","295",3
"1960","2bañ",3
"1961","35",3
"1962","363m2",3
"1963","3e",3
"1964","4.5b",3
"1965","40mts2",3
"1966","4611",3
"1967","4731",3
"1968","4749",3
"1969","500",3
"1970","53",3
"1971","54",3
"1972","550.00",3
"1973","5994",3
"1974","616762",3
"1975","62",3
"1976","62m2",3
"1977","6398",3
"1978","6429",3
"1979","650",3
"1980","66",3
"1981","66m2",3
"1982","68m2",3
"1983","6975",3
"1984","6b",3
"1985","709",3
"1986","72",3
"1987","7242",3
"1988","74",3
"1989","750",3
"1990","77",3
"1991","77m2",3
"1992","7881",3
"1993","79m2",3
"1994","8",3
"1995","84",3
"1996","85",3
"1997","900",3
"1998","91m2",3
"1999","92",3
"2000","9260",3
"2001","94m2",3
"2002","95m2",3
"2003","99",3
"2004","acepta",3
"2005","actualizada",3
"2006","adapta",3
"2007","ae",3
"2008","aguas",3
"2009","aires",3
"2010","alquiler.apartamento.los",3
"2011","alquillo",3
"2012","alqula",3
"2013","angiee",3
"2014","aparatmento",3
"2015","aparta",3
"2016","apartamentoen",3
"2017","apartamneto",3
"2018","apartmento",3
"2019","apartramento",3
"2020","aprovecha",3
"2021","arquitectura",3
"2022","asesora",3
"2023","auyantepuy",3
"2024","bancos",3
"2025","beatriz",3
"2026","buscabas",3
"2027","cercano",3
"2028","chacon",3
"2029","clinas",3
"2030","closet",3
"2031","clud",3
"2032","clásico",3
"2033","colegio",3
"2034","combine",3
"2035","completo",3
"2036","completos",3
"2037","comunicate",3
"2038","conjuntos",3
"2039","consulado",3
"2040","contacto",3
"2041","contrato",3
"2042","control",3
"2043","còmodo",3
"2044","cúspide",3
"2045","dama",3
"2046","decoración",3
"2047","decorado",3
"2048","descubrir",3
"2049","ejecutiva",3
"2050","emblemáticos",3
"2051","entorno",3
"2052","envidiable",3
"2053","esmeralda",3
"2054","esplendida",3
"2055","estac",3
"2056","estategicamente",3
"2057","estreno",3
"2058","eu",3
"2059","experiencia",3
"2060","extraordinario",3
"2061","fabulosa",3
"2062","familiar",3
"2063","family",3
"2064","franca",3
"2065","francesa",3
"2066","friendly",3
"2067","fuentes",3
"2068","fusionan",3
"2069","galería",3
"2070","garantizada",3
"2071","gas",3
"2072","gd",3
"2073","generación",3
"2074","gf",3
"2075","grados",3
"2076","guacay",3
"2077","guayabitos",3
"2078","gusta",3
"2079","guste",3
"2080","habitado",3
"2081","hoyer",3
"2082","ih6",3
"2083","increíbles",3
"2084","independencia",3
"2085","indicado",3
"2086","información",3
"2087","inmediata",3
"2088","inmediato",3
"2089","inmobinter",3
"2090","invito",3
"2091","jcrp",3
"2092","joya",3
"2093","juridica",3
"2094","juridico",3
"2095","jóvenes",3
"2096","keiber",3
"2097","kigd",3
"2098","kitchenette",3
"2099","kn",3
"2100","lab",3
"2101","lleno",3
"2102","llevar",3
"2103","luminosa",3
"2104","línea",3
"2105","madera",3
"2106","majestuosa",3
"2107","marquez",3
"2108","mary",3
"2109","mañana",3
"2110","mcpio",3
"2111","mim",3
"2112","mismo",3
"2113","modernas",3
"2114","monoambiente",3
"2115","montecristo",3
"2116","mrdg",3
"2117","mt",3
"2118","mucha",3
"2119","murano",3
"2120","myp",3
"2121","médico",3
"2122","múltiples",3
"2123","nacional",3
"2124","nuevos",3
"2125","obra",3
"2126","ofrecemos",3
"2127","og",3
"2128","optica",3
"2129","optimizar",3
"2130","p.e",3
"2131","pacheco",3
"2132","paisaje",3
"2133","panorama",3
"2134","parcial",3
"2135","pde",3
"2136","pdvsa",3
"2137","pequeñas",3
"2138","pet",3
"2139","pierdas",3
"2140","pinos",3
"2141","porcelanato",3
"2142","potencial",3
"2143","ppal",3
"2144","prestigio",3
"2145","privilegio",3
"2146","problema",3
"2147","puro",3
"2148","real",3
"2149","reciente",3
"2150","rental",3
"2151","requerimientos",3
"2152","rgn",3
"2153","rojas",3
"2154","salon",3
"2155","sanz",3
"2156","sergio",3
"2157","solarino",3
"2158","stm",3
"2159","sueño",3
"2160","sótano",3
"2161","techos",3
"2162","trabajo",3
"2163","trae",3
"2164","universidad",3
"2165","urb.la",3
"2166","urb.lomas",3
"2167","uribe",3
"2168","vanguardia",3
"2169","vanguardista",3
"2170","vc26",3
"2171","ventilación",3
"2172","vip",3
"2173","wd",3
"2174","yennief",3
"2175","yy",3
"2176","óptica",3
"2177","002",2
"2178","02",2
"2179","0399",2
"2180","0p",2
"2181","1,5b",2
"2182","1.150,00",2
"2183","1.300",2
"2184","1.450",2
"2185","10003",2
"2186","10078",2
"2187","1016",2
"2188","102m3",2
"2189","104",2
"2190","104m2",2
"2191","105",2
"2192","105m",2
"2193","105mts2",2
"2194","10681",2
"2195","10723",2
"2196","108",2
"2197","10867",2
"2198","10971",2
"2199","10983",2
"2200","10m2",2
"2201","11",2
"2202","11192",2
"2203","11290",2
"2204","11519",2
"2205","11532",2
"2206","117",2
"2207","11874",2
"2208","11906",2
"2209","11991",2
"2210","12050",2
"2211","12274",2
"2212","12288",2
"2213","12313",2
"2214","124",2
"2215","12412",2
"2216","12421",2
"2217","12439",2
"2218","1250",2
"2219","12581",2
"2220","126",2
"2221","12620",2
"2222","12655",2
"2223","126mts",2
"2224","12795",2
"2225","129",2
"2226","12943",2
"2227","12953s",2
"2228","12958",2
"2229","12994",2
"2230","13007",2
"2231","13296",2
"2232","134",2
"2233","13470",2
"2234","135",2
"2235","13643",2
"2236","13660",2
"2237","137",2
"2238","13792",2
"2239","13842",2
"2240","139",2
"2241","13940",2
"2242","13941s",2
"2243","13945s",2
"2244","13992",2
"2245","14042",2
"2246","14065s",2
"2247","14075",2
"2248","14100s",2
"2249","14129s",2
"2250","14192s",2
"2251","141m2",2
"2252","142",2
"2253","14207",2
"2254","14236",2
"2255","1436",2
"2256","14425s",2
"2257","14505",2
"2258","14661",2
"2259","14666s",2
"2260","14679",2
"2261","14812",2
"2262","149",2
"2263","149mts",2
"2264","15033",2
"2265","15062",2
"2266","15067",2
"2267","15086",2
"2268","1514",2
"2269","15261",2
"2270","15343",2
"2271","1543",2
"2272","15472",2
"2273","15607",2
"2274","15761",2
"2275","15793",2
"2276","158119rt",2
"2277","15888",2
"2278","15988",2
"2279","16",2
"2280","16493",2
"2281","16594",2
"2282","16644",2
"2283","16806",2
"2284","16878",2
"2285","16944",2
"2286","16953",2
"2287","16986",2
"2288","17098",2
"2289","17125",2
"2290","17135",2
"2291","17219",2
"2292","17254",2
"2293","173",2
"2294","17310",2
"2295","17351",2
"2296","17375",2
"2297","17605s",2
"2298","17611",2
"2299","17625s",2
"2300","17641",2
"2301","17656",2
"2302","17719",2
"2303","17727",2
"2304","17789",2
"2305","177m2",2
"2306","17834",2
"2307","17863",2
"2308","17902",2
"2309","17913",2
"2310","17997",2
"2311","18138",2
"2312","18208",2
"2313","18307",2
"2314","18310",2
"2315","18345",2
"2316","183m2",2
"2317","184",2
"2318","18563",2
"2319","185m2",2
"2320","186mtrs",2
"2321","19489",2
"2322","195m2",2
"2323","19829",2
"2324","19978",2
"2325","1bs",2
"2326","1hs",2
"2327","20249",2
"2328","207m2",2
"2329","21180",2
"2330","21335",2
"2331","217m2",2
"2332","2245",2
"2333","22463",2
"2334","225,55",2
"2335","225m2",2
"2336","22mar",2
"2337","232",2
"2338","240",2
"2339","24043",2
"2340","241",2
"2341","24276",2
"2342","2429",2
"2343","24502",2
"2344","245m2",2
"2345","24878",2
"2346","2522",2
"2347","260mts2",2
"2348","2611531",2
"2349","2612",2
"2350","2614960",2
"2351","2615002",2
"2352","2615179",2
"2353","2615609",2
"2354","2616973",2
"2355","2617689",2
"2356","2617912",2
"2357","2617930",2
"2358","270m2",2
"2359","2716",2
"2360","2736",2
"2361","280m2",2
"2362","281m2",2
"2363","295m2",2
"2364","29811",2
"2365","2h2b3p",2
"2366","2y1",2
"2367","3.000",2
"2368","30166",2
"2369","30m2",2
"2370","310",2
"2371","313837",2
"2372","316",2
"2373","316m2",2
"2374","330",2
"2375","331m2",2
"2376","338",2
"2377","351",2
"2378","35857",2
"2379","35m2",2
"2380","3939",2
"2381","394",2
"2382","396",2
"2383","39m2",2
"2384","3ba",2
"2385","3h2b",2
"2386","40",2
"2387","400",2
"2388","4120",2
"2389","420",2
"2390","430m2",2
"2391","450m",2
"2392","4545",2
"2393","4576",2
"2394","460",2
"2395","4712",2
"2396","4771",2
"2397","47m2",2
"2398","4803",2
"2399","4865",2
"2400","49",2
"2401","5.5b",2
"2402","50.000",2
"2403","500m2",2
"2404","5148",2
"2405","52m2",2
"2406","5305",2
"2407","54.60m2",2
"2408","5422",2
"2409","550m2",2
"2410","5521",2
"2411","55m2",2
"2412","55mts2",2
"2413","56",2
"2414","5742",2
"2415","5770",2
"2416","5838",2
"2417","5967",2
"2418","5cubiculos",2
"2419","6016",2
"2420","60m",2
"2421","611801",2
"2422","6213",2
"2423","6268",2
"2424","63",2
"2425","63,18",2
"2426","63m2",2
"2427","67",2
"2428","6855",2
"2429","6860",2
"2430","6979",2
"2431","6p",2
"2432","70.83m2",2
"2433","70m",2
"2434","71m2",2
"2435","7256",2
"2436","72m2",2
"2437","7309",2
"2438","7336",2
"2439","73m2",2
"2440","7473",2
"2441","7616",2
"2442","76m",2
"2443","7985",2
"2444","800m2",2
"2445","81",2
"2446","8159",2
"2447","81m2",2
"2448","82,44",2
"2449","82,44mts",2
"2450","82.44",2
"2451","82m2",2
"2452","83.07",2
"2453","8382",2
"2454","8441",2
"2455","8470",2
"2456","8537",2
"2457","8671",2
"2458","88",2
"2459","883",2
"2460","8847",2
"2461","8896",2
"2462","89",2
"2463","905",2
"2464","90mts2",2
"2465","91",2
"2466","9186",2
"2467","9214",2
"2468","9262",2
"2469","93,61",2
"2470","9601",2
"2471","9728",2
"2472","9778",2
"2473","9779",2
"2474","97m",2
"2475","97m2",2
"2476","98",2
"2477","980",2
"2478","9917",2
"2479","9973",2
"2480","a.p",2
"2481","abiertos",2
"2482","absoluto",2
"2483","acabado",2
"2484","aceptan",2
"2485","acj1",2
"2486","acogedora",2
"2487","acondicionados",2
"2488","af",2
"2489","agenda",2
"2490","alcance",2
"2491","alog",2
"2492","alquilarlo",2
"2493","alquiler.apartamento.el",2
"2494","alquiler.apartamento.lomas",2
"2495","alturas",2
"2496","alucinante",2
"2497","am15",2
"2498","amigos",2
"2499","amobado",2
"2500","amota",2
"2501","andrés",2
"2502","anexos",2
"2503","angeles",2
"2504","apaprtamento",2
"2505","aparamento",2
"2506","apartametno",2
"2507","aprox",2
"2508","aptos",2
"2509","aquiler",2
"2510","ariba",2
"2511","armonioso",2
"2512","artefactos",2
"2513","atención",2
"2514","atrium",2
"2515","auxiliar",2
"2516","avg",2
"2517","b3",2
"2518","bajá",2
"2519","bañ",2
"2520","best",2
"2521","bh",2
"2522","bienvenida",2
"2523","bomba",2
"2524","bondades",2
"2525","brinde",2
"2526","brisa",2
"2527","busques",2
"2528","cabina",2
"2529","cama",2
"2530","caminerías",2
"2531","campos",2
"2532","caricuao",2
"2533","carolina",2
"2534","centrica",2
"2535","centros",2
"2536","chacaíto",2
"2537","cima",2
"2538","claro",2
"2539","climatizado",2
"2540","closets",2
"2541","cm",2
"2542","comandancia",2
"2543","comerciales",2
"2544","comienzo",2
"2545","comoda",2
"2546","completa",2
"2547","conford",2
"2548","conj",2
"2549","conjugan",2
"2550","conservado",2
"2551","consultorios",2
"2552","continuo",2
"2553","convertirse",2
"2554","corazon",2
"2555","cortas",2
"2556","cortiz",2
"2557","cosmopolita",2
"2558","cotizadas",2
"2559","cotoperi",2
"2560","cr.el",2
"2561","cuidado",2
"2562","cumbre",2
"2563","cómodamente",2
"2564","damas",2
"2565","damos",2
"2566","decisión",2
"2567","decorar",2
"2568","definicion",2
"2569","demanda",2
"2570","demandada",2
"2571","descanso",2
"2572","desconectarte",2
"2573","descubierta",2
"2574","detalle",2
"2575","dia",2
"2576","diaria",2
"2577","diferentes",2
"2578","dimensiones",2
"2579","diplomatico",2
"2580","direto",2
"2581","docente",2
"2582","dormitorios",2
"2583","dp",2
"2584","dr",2
"2585","ec",2
"2586","ed",2
"2587","edivigis",2
"2588","eduviguis",2
"2589","eeuu",2
"2590","eficiencia",2
"2591","ejercitar",2
"2592","electricidad",2
"2593","elegantes",2
"2594","eléctricos",2
"2595","emblemático",2
"2596","empresarios",2
"2597","encantado26",2
"2598","encanto",2
"2599","encontraras",2
"2600","ensueño",2
"2601","entrada",2
"2602","entrega",2
"2603","epicentro",2
"2604","escondida",2
"2605","espaciosas",2
"2606","especial",2
"2607","espectacula",2
"2608","espectaculat",2
"2609","esposol",2
"2610","esquina",2
"2611","estación",2
"2612","estaconamiento",2
"2613","estadías",2
"2614","estatus",2
"2615","estratégicamente",2
"2616","estratégicas",2
"2617","estudiante",2
"2618","etc",2
"2619","evaluado",2
"2620","excelencia",2
"2621","expectativas",2
"2622","expendido",2
"2623","experimentar",2
"2624","extra",2
"2625","extranjeros",2
"2626","fc",2
"2627","forida",2
"2628","francia",2
"2629","funcionarios",2
"2630","g2h",2
"2631","gala",2
"2632","gandes",2
"2633","garantizados",2
"2634","gestión",2
"2635","gg",2
"2636","gourmet",2
"2637","grades",2
"2638","grandesa",2
"2639","grandioso",2
"2640","grandres",2
"2641","gris",2
"2642","grupo",2
"2643","gt",2
"2644","guairita",2
"2645","guardia",2
"2646","gustaría",2
"2647","habit",2
"2648","habitacional",2
"2649","habti",2
"2650","hacia",2
"2651","hacienda",2
"2652","hatillo.t7m",2
"2653","hr",2
"2654","huespedes",2
"2655","humboldt.el",2
"2656","ig",2
"2657","iglesia",2
"2658","impresionantes",2
"2659","incluyen",2
"2660","indi",2
"2661","inf",2
"2662","infinita",2
"2663","iniciando",2
"2664","inmobiliario",2
"2665","instalaciones",2
"2666","interior",2
"2667","interno",2
"2668","internos",2
"2669","italiana",2
"2670","italiano",2
"2671","jacinto",2
"2672","jacuzzi",2
"2673","jb",2
"2674","jl",2
"2675","jose",2
"2676","jp",2
"2677","junio",2
"2678","jurídico",2
"2679","justo",2
"2680","k.o",2
"2681","k8g",2
"2682","kb",2
"2683","kc.g",2
"2684","kmv",2
"2685","laguna",2
"2686","largo",2
"2687","lateral",2
"2688","lavandero",2
"2689","lb25",2
"2690","lcm",2
"2691","lesamo",2
"2692","lista",2
"2693","llama",2
"2694","llano",2
"2695","m6z",2
"2696","maleta",2
"2697","maquinas",2
"2698","mar",2
"2699","maracacuay",2
"2700","marias",2
"2701","martin",2
"2702","mascota",2
"2703","maxima",2
"2704","maximizar",2
"2705","mbf",2
"2706","mccg",2
"2707","mediante",2
"2708","mediona",2
"2709","mendoza",2
"2710","mes",2
"2711","meses",2
"2712","metro",2
"2713","metrobus",2
"2714","mfl2614364",2
"2715","mfl2616316",2
"2716","mfm",2
"2717","mls24",2
"2718","mo",2
"2719","moderna",2
"2720","modernos",2
"2721","mp6",2
"2722","mtrs",2
"2723","mudate",2
"2724","multiples",2
"2725","mv2616022",2
"2726","myl",2
"2727","mágico",2
"2728","n",2
"2729","natura",2
"2730","necesario",2
"2731","necesitas.urbanización",2
"2732","negocio",2
"2733","niños",2
"2734","norte.ks",2
"2735","nu",2
"2736","nunca",2
"2737","nv",2
"2738","ny",2
"2739","o7q",2
"2740","odontologico",2
"2741","odontólogos",2
"2742","optimizados",2
"2743","ov",2
"2744","p7l",2
"2745","palomera",2
"2746","panorámicas",2
"2747","pensada",2
"2748","pequeña",2
"2749","perfectas",2
"2750","perfectos",2
"2751","pineda",2
"2752","polo",2
"2753","posible",2
"2754","pp",2
"2755","premio",2
"2756","preocupaciones",2
"2757","presento",2
"2758","prestigioso",2
"2759","principales",2
"2760","priorizan",2
"2761","proyecto",2
"2762","próceres",2
"2763","publica",2
"2764","realmente",2
"2765","relajante",2
"2766","remanso",2
"2767","requiere",2
"2768","residence",2
"2769","residenciales",2
"2770","resort",2
"2771","respuesta",2
"2772","ress",2
"2773","restaurantes",2
"2774","romero",2
"2775","rosales",2
"2776","rr",2
"2777","ruiz",2
"2778","ruz0",2
"2779","rvz",2
"2780","salle",2
"2781","serenidad",2
"2782","sereno",2
"2783","servico",2
"2784","sofá",2
"2785","soñado",2
"2786","sta",2
"2787","suapure",2
"2788","sueños",2
"2789","sumamente",2
"2790","supera",2
"2791","sureste",2
"2792","svdb",2
"2793","t",2
"2794","tan",2
"2795","temporal",2
"2796","tennis",2
"2797","totales",2
"2798","tranquilad",2
"2799","triple",2
"2800","tríplex",2
"2801","uk",2
"2802","unimet",2
"2803","urb.el",2
"2804","usd",2
"2805","uso",2
"2806","varios",2
"2807","vega",2
"2808","verlo",2
"2809","vgi",2
"2810","visitante",2
"2811","vivienda",2
"2812","walk",2
"2813","whatsaap",2
"2814","whatsapp",2
"2815","wl",2
"2816","yb3",2
"2817","yeliva",2
"2818","yesenia",2
"2819","yg73",2
"2820","yg76",2
"2821","yr2614100",2
"2822","yr2614224",2
"2823","yr2616022",2
"2824","yr2616316",2
"2825","yr2617369",2
"2826","yr2618093",2
"2827","ys12613078",2
"2828","ys12613547",2
"2829","ys12615002",2
"2830","ys12615519",2
"2831","ys12615540",2
"2832","ys12615892",2
"2833","ys12616418",2
"2834","ys12618093",2
"2835","ys1267798",2
"2836","ó",2
"2837","última",2
"2838","0014",1
"2839","0035",1
"2840","0080",1
"2841","0096",1
"2842","0098",1
"2843","011",1
"2844","0135",1
"2845","0157",1
"2846","0187",1
"2847","0242",1
"2848","0282",1
"2849","0305",1
"2850","0318",1
"2851","0327",1
"2852","0351",1
"2853","0393",1
"2854","04",1
"2855","0425",1
"2856","0426",1
"2857","0427",1
"2858","0466",1
"2859","0503",1
"2860","0557",1
"2861","0570",1
"2862","0573",1
"2863","0606",1
"2864","0637",1
"2865","0680",1
"2866","0692",1
"2867","0784",1
"2868","08",1
"2869","0801",1
"2870","0807",1
"2871","0823",1
"2872","0856",1
"2873","0863",1
"2874","0908",1
"2875","0938",1
"2876","0966",1
"2877","0976",1
"2878","0989",1
"2879","0pe",1
"2880","1,500.00",1
"2881","1.200",1
"2882","1.250",1
"2883","1000m2",1
"2884","10013",1
"2885","10064",1
"2886","10095",1
"2887","100m",1
"2888","100mtrs",1
"2889","101,50",1
"2890","10156",1
"2891","1022",1
"2892","10244",1
"2893","103",1
"2894","10361",1
"2895","10376",1
"2896","103m2",1
"2897","104,50",1
"2898","10471",1
"2899","106m2",1
"2900","10720",1
"2901","1078",1
"2902","10783",1
"2903","107m2",1
"2904","1086",1
"2905","10939",1
"2906","10955",1
"2907","10994",1
"2908","10996",1
"2909","109m2",1
"2910","10h",1
"2911","11023",1
"2912","1105",1
"2913","11151",1
"2914","11158",1
"2915","11164",1
"2916","11168",1
"2917","11198",1
"2918","11234",1
"2919","1133",1
"2920","11355",1
"2921","11396",1
"2922","11409",1
"2923","11586",1
"2924","11631",1
"2925","11635",1
"2926","11645",1
"2927","11785",1
"2928","117m",1
"2929","117mts",1
"2930","118,00",1
"2931","118.70m2",1
"2932","11832",1
"2933","11907",1
"2934","11941",1
"2935","11968",1
"2936","1200",1
"2937","12003",1
"2938","12027",1
"2939","12083",1
"2940","121,42mtrs2",1
"2941","12101",1
"2942","12116",1
"2943","12158",1
"2944","121m2",1
"2945","122,00",1
"2946","12212",1
"2947","12223",1
"2948","12262",1
"2949","12277",1
"2950","122m2",1
"2951","123",1
"2952","12309",1
"2953","12315",1
"2954","1233",1
"2955","12333",1
"2956","12397",1
"2957","123mts",1
"2958","12456",1
"2959","12492",1
"2960","12495",1
"2961","124m",1
"2962","124mts2",1
"2963","125",1
"2964","1255",1
"2965","12564",1
"2966","12611784",1
"2967","1268537",1
"2968","127.54",1
"2969","12742",1
"2970","12787",1
"2971","12817",1
"2972","12817wm",1
"2973","12875",1
"2974","1289",1
"2975","12893",1
"2976","129,19",1
"2977","12947s",1
"2978","1296",1
"2979","12961",1
"2980","12min",1
"2981","13",1
"2982","13024",1
"2983","13025",1
"2984","13032",1
"2985","13069",1
"2986","131",1
"2987","13105s",1
"2988","1313",1
"2989","13146",1
"2990","1315",1
"2991","13168",1
"2992","1317",1
"2993","13252",1
"2994","13287",1
"2995","132m2",1
"2996","133",1
"2997","1332",1
"2998","13346yf",1
"2999","1339",1
"3000","133m2",1
"3001","13407",1
"3002","13433",1
"3003","13447",1
"3004","13496",1
"3005","13548",1
"3006","135m2",1
"3007","135mt2",1
"3008","136.67m2",1
"3009","13604",1
"3010","13612",1
"3011","13699",1
"3012","136m2",1
"3013","137m",1
"3014","137mts2",1
"3015","13842s",1
"3016","138m2",1
"3017","13904",1
"3018","13904s",1
"3019","13919",1
"3020","13930yf",1
